Name,Rating,Food Type,Price_range,area
INOX,--,Snacks,₹400 FOR TWO,darjeeling
Haldiram's Prabhuji,--,"Street Food, North Indian, Chinese, South Indian",₹400 FOR TWO,darjeeling
Domino's Pizza,4.1,Pizzas,₹400 FOR TWO,darjeeling
Hotel Himalaya Residency & Restaurant,--,"Biryani, Fast Food",₹420 FOR TWO,darjeeling
Walk In Woods(Ballupur),4.0,"North Indian, Chinese, Biryani",₹300 FOR TWO,dehradun
RollMaal,4.9,"Chinese, Asian, Pan-Asian, Thai, Oriental",₹400 FOR TWO,dehradun
Pet Pooja,2.5,"North Indian, Beverages",₹150 FOR TWO,dehradun
GHAR JAISA KHANA,2.9,"Indian, North Indian, Thalis",₹150 FOR TWO,dehradun
Uss Da Dhaba,3.4,"North Indian, Chinese, Continental",₹200 FOR TWO,dehradun
Udupi Cafe Bangalore Idli,4.0,"South Indian, Indian, Beverages",₹275 FOR TWO,dehradun
McDonald's,4.2,American,₹400 FOR TWO,dehradun
Walk In Woods (Dharampur),4.0,"North Indian, Chinese, Italian, Biryani",₹250 FOR TWO,dehradun
Prakash Bhojnalaya,2.8,North Indian,₹200 FOR TWO,dehradun
Punjabi Dhaba,3.5,North Indian,₹200 FOR TWO,dehradun
Burger Singh (Big Punjabi Burgers),3.9,"Snacks, Indian, American, Beverages, Desserts",₹300 FOR TWO,dehradun
Biryani By Kilo,4.0,"Biryani, Mughlai, Kebabs, North Indian, Hyderabadi, Lucknowi, Andhra, South Indi...",₹700 FOR TWO,dehradun
GANESH JI CHOLE BHATURE,4.4,Indian,₹200 FOR TWO,dehradun
Annapurna Vegetarian,3.3,"North Indian, Fast Food",₹200 FOR TWO,dehradun
Hukum Pizza,3.9,"Pizzas, Pastas",₹300 FOR TWO,dehradun
Goli Vada Pav No 1,4.0,"Maharashtrian, North Indian, Street Food",₹100 FOR TWO,dehradun
New Tuhada Dhaba,3.4,"Punjabi, Indian, Desserts",₹200 FOR TWO,dehradun
Pandit Ji Sweets & Restaurant Dairy,3.7,"North Indian, Indian",₹200 FOR TWO,dehradun
Maa Ki Rasoi,2.4,North Indian,₹150 FOR TWO,dehradun
Shree Gopal Ji Ki Hatti,4.2,"North Indian, Beverages",₹150 FOR TWO,dehradun
Kwality Walls Frozen Dessert and Ice Cream Shop,4.6,"Desserts, Ice Cream, Ice Cream Cakes",₹100 FOR TWO,dehradun
Kwik Bite Centre,3.9,"Indian, South Indian, Chinese, Italian",₹150 FOR TWO,dehradun
Chetan Puri Delivery,4.1,North Indian,₹200 FOR TWO,dehradun
Pizza Hut,3.7,Pizzas,₹350 FOR TWO,dehradun
Speedy Chow,4.9,"Chinese, Asian, Pan-Asian, Thai, Oriental",₹200 FOR TWO,dehradun
Mamagoto,4.6,"Chinese, Asian, Pan-Asian, Thai, Oriental",₹800 FOR TWO,dehradun
Handi punjab ki,4.1,"North Indian, Chinese, Tandoor",₹250 FOR TWO,dehradun
Burger King,4.2,"Burgers, American",₹350 FOR TWO,dehradun
Domnik Pizza (Ballupur),3.9,Italian,₹250 FOR TWO,dehradun
Lemon Chilli Pure Veg Family Restaurant,3.8,North Indian,₹200 FOR TWO,dehradun
Vikas Bakers & Confectioners,--,"Bakery, Snacks",₹150 FOR TWO,dehradun
Doon Bakers And Confectioners,4.0,Bakery,₹150 FOR TWO,dehradun
Chilli'Z Restro,3.8,"North Indian, Chinese, Snacks, Beverages",₹300 FOR TWO,dehradun
DA PEPPER PIZZA,3.5,Pizzas,₹300 FOR TWO,dehradun
Anandam Express,4.3,"Gujarati, Sweets, Street Food",₹200 FOR TWO,dehradun
Chai Sutta Corner,--,"Beverages, Indian, Chinese, Snacks, Fast Food",₹250 FOR TWO,dehradun
The Biryani King,3.5,"Biryani, North Indian, Indian, Kebabs, Snacks",₹250 FOR TWO,dehradun
Mj Restaurant - Mj Residency,4.4,"North Indian, Chinese, Italian",₹350 FOR TWO,dehradun
The Momo House ( A Unit Of Momos Bite),--,"Chinese, Snacks",₹200 FOR TWO,dehradun
Chatkaare,--,"Street Food, Snacks, Beverages",₹50 FOR TWO,dehradun
FIT BIT,4.0,"Healthy Food, Beverages",₹200 FOR TWO,dehradun
Vera Da Punjabi Dhaba,3.2,North Indian,₹200 FOR TWO,dehradun
"Kathi Express (Vikas Mall,Indira Nagar)",4.0,Fast Food,₹200 FOR TWO,dehradun
Da Mexican Pizza,3.8,Pizzas,₹200 FOR TWO,dehradun
Vivan Home Kitchen,--,"Indian, Snacks, North Indian",₹250 FOR TWO,dehradun
Punjab Restaurant (Clock Tower),3.8,"North Indian, Chinese",₹300 FOR TWO,dehradun
Chhappan Bhog,4.2,"Sweets, Desserts, Beverages",₹150 FOR TWO,dehradun
Biryani Express,2.7,North Indian,₹250 FOR TWO,dehradun
ANNPURNA BAKERS,--,Bakery,₹200 FOR TWO,dehradun
Subway,4.1,"Fast Food, Healthy Food, Salads, Snacks, Desserts, Beverages",₹350 FOR TWO,dehradun
Ahuja Chinese Food Court,3.6,Chinese,₹150 FOR TWO,dehradun
Cafe Behind The Bars,--,"North Indian, Chinese, Snacks",₹300 FOR TWO,dehradun
Doon Cakes and Decoration,--,"Bakery, Snacks",₹300 FOR TWO,dehradun
Matta Restaurant,3.6,"Chinese, North Indian, Snacks",₹100 FOR TWO,dehradun
New Jassi Restaurant,3.4,"Indian, Chinese",₹275 FOR TWO,dehradun
GupShup Cafe,--,"Beverages, Snacks, Pastas",₹200 FOR TWO,dehradun
Perfect Cravings,3.5,"Desserts, Bakery",₹150 FOR TWO,dehradun
Taste of Punjabi,--,Indian,₹250 FOR TWO,dehradun
Giani,4.4,"Ice Cream, Beverages",₹300 FOR TWO,dehradun
Merriment Bakers,--,Bakery,₹200 FOR TWO,dehradun
Just Cafe,4.0,"Italian, Chinese, Continental, Beverages, Indian",₹200 FOR TWO,dehradun
Lemon Chilli Family Restro,3.5,"Indian, Chinese",₹250 FOR TWO,dehradun
Aman Vegetarian,3.8,"North Indian, Chinese, Continental",₹275 FOR TWO,dehradun
Gaylord Express,3.4,"South Indian, Chinese, Bakery, Italian",₹200 FOR TWO,dehradun
Cake & Bake,--,Bakery,₹200 FOR TWO,dehradun
Doon Darbar,3.6,"North Indian, Mughlai",₹275 FOR TWO,dehradun
Aaoji Khaoji,3.8,"North Indian, South Indian, Snacks, Sweets",₹250 FOR TWO,dehradun
Flavour's Inn,--,"North Indian, Tandoor, Chinese, Snacks",₹300 FOR TWO,dehradun
Doon Tripple Nine (Patel nagar ),3.8,"North Indian, Chinese, Desserts, Beverages",₹300 FOR TWO,dehradun
desi fast food,--,Indian,₹100 FOR TWO,dehradun
JASSI EXPRESS,--,"Indian, North Indian, Chinese, Tandoor, Biryani, Punjabi, Snacks",₹250 FOR TWO,dehradun
SECRET SPICE,--,"North Indian, Chinese, Desserts",₹200 FOR TWO,dehradun
NATIONAL JUICE HOUSE,4.4,Beverages,₹200 FOR TWO,dehradun
Anandam,4.2,"North Indian, South Indian, Sweets, Snacks",₹300 FOR TWO,dehradun
ROL-GOL,4.0,Snacks,₹150 FOR TWO,dehradun
MUGHAL ZAIKA,3.5,"Indian, Mughlai, Tandoor",₹200 FOR TWO,dehradun
Domnik Pizza (Tagore Villa),3.4,"Pizzas, Fast Food, Beverages",₹200 FOR TWO,dehradun
31 Flavours,3.8,"Indian, Chinese, South Indian, Italian",₹200 FOR TWO,dehradun
Murthal Paranthawala,3.7,North Indian,₹200 FOR TWO,dehradun
Al- Karim Family Restaurant,4.0,"North Indian, Mughlai, Biryani",₹300 FOR TWO,dehradun
Kaleva,4.3,"North Indian, Chinese, Desserts",₹300 FOR TWO,delhi
Desi Vibes,--,"Mughlai, North Indian",₹800 FOR TWO,delhi
Kaleva,4.3,"North Indian, Chinese, Desserts",₹300 FOR TWO,delhi
Nirula's,3.9,"Pizzas, Pastas, Desserts, Ice Cream, Beverages, North Indian",₹300 FOR TWO,delhi
Masala E Handi (Since 1995),4.0,"North Indian, Chinese, Biryani, Tandoor, Mughlai, Punjabi, Afghani, Kebabs, Indi...",₹350 FOR TWO,delhi
KFC,3.9,"American, Snacks, Biryani",₹400 FOR TWO,delhi
Kwality,--,"North Indian, Continental",₹1500 FOR TWO,delhi
Pink box,4.2,"Bakery, Desserts, Sweets",₹150 FOR TWO,delhi
Chili's American Grill & Bar,4.3,"American, Mexican",₹900 FOR TWO,delhi
Rooh Burger Cafe,4.0,"American, Fast Food, Beverages",₹200 FOR TWO,delhi
Ardor,--,"Chinese, Continental, Indian",₹1200 FOR TWO,delhi
Castles Barbeque,--,"Indian, Beverages, Chinese",₹1200 FOR TWO,delhi
Nazeer Foods,3.8,"North Indian, Biryani, Mughlai, Snacks",₹400 FOR TWO,delhi
Louis Burger,4.3,American,₹600 FOR TWO,delhi
Biryani By Kilo,4.2,"Biryani, Mughlai, Kebabs, North Indian, Hyderabadi, Lucknowi, Andhra, South Indi...",₹700 FOR TWO,delhi
Hotel Saravana Bhavan,4.5,South Indian,₹550 FOR TWO,delhi
McDonald's,4.4,"American, Fast Food",₹400 FOR TWO,delhi
Bikkgane Biryani,4.0,"Biryani, Mughlai, North Indian",₹400 FOR TWO,delhi
Burger King,4.3,"Burgers, American",₹350 FOR TWO,delhi
Taco Bell,4.1,Mexican,₹300 FOR TWO,delhi
Dhaba Food,4.4,Indian,₹200 FOR TWO,delhi
Biryani Blues,4.3,"Biryani, Hyderabadi, Lucknowi, Kebabs, Desserts, Beverages",₹400 FOR TWO,delhi
Subway,3.9,"Salads, Snacks, Desserts, Beverages",₹350 FOR TWO,delhi
The Burger Club,3.8,"American, Beverages, Desserts",₹250 FOR TWO,delhi
Radhey Shyam Subhash Kumar Special Chole Bhature,4.3,North Indian,₹150 FOR TWO,delhi
Sita Ram Diwan Chand,4.1,"Street Food, North Indian, Snacks",₹100 FOR TWO,delhi
Theobroma,4.6,"Bakery, Desserts",₹800 FOR TWO,delhi
Jain Chawal Wale,3.9,"North Indian, Snacks, Beverages",₹250 FOR TWO,delhi
Haldiram's,4.3,North Indian,₹300 FOR TWO,delhi
Chaayos Chai+Snacks=Relax,4.2,"Bakery, Beverages, Chaat, Desserts, Fast Food, Home Food, Italian, Maharashtrian...",₹250 FOR TWO,delhi
Third Wave Coffee Roasters,4.5,"Beverages, Pizzas",₹400 FOR TWO,delhi
Hello G Sas Kitchen,2.4,"Biryani, Indian",₹250 FOR TWO,delhi
Bangla Sweet House,4.3,"Sweets, North Indian",₹150 FOR TWO,delhi
Zen,4.1,"Chinese, Pan-Asian, Seafood, Japanese, Sushi, Italian",₹700 FOR TWO,delhi
Handi Chhadeyan Di (Since 2012),3.9,"North Indian, Chinese, Mughlai, Tandoor, Kebabs, Punjabi",₹250 FOR TWO,delhi
Punjab Grill,4.1,Indian,₹900 FOR TWO,delhi
Cha Bar,4.0,Cafe,₹500 FOR TWO,delhi
K^ Cubed,--,"Japanese, Pan-Asian, Chinese, Indian",₹1200 FOR TWO,delhi
ARDOR 2.1,--,"Indian, Chinese, Italian",₹1000 FOR TWO,delhi
Farzi Cafe,--,Indian,₹600 FOR TWO,delhi
Khan Chacha,4.3,"North Indian, Kebabs, Biryani",₹850 FOR TWO,delhi
Natural Ice Cream,4.6,Ice Cream,₹150 FOR TWO,delhi
Bangla Foods,4.1,"North Indian, Chinese, Desserts",₹250 FOR TWO,delhi
Biryani Badshah,4.1,"Biryani, Mughlai, North Indian",₹350 FOR TWO,delhi
Pind Balluchi (CP),4.1,"Mughlai, North Indian",₹400 FOR TWO,delhi
Gulati (Pandara Road),4.3,Indian,₹1000 FOR TWO,delhi
Mughlai Junction,4.2,"Mughlai, North Indian, Tandoor",₹600 FOR TWO,delhi
Barista,4.2,"Beverages, Snacks, Desserts",₹350 FOR TWO,delhi
UBQ by Barbeque Nation,3.9,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",₹300 FOR TWO,delhi
Slice,3.8,"Pizzas, Continental, Italian, Beverages",₹200 FOR TWO,delhi
Gupta Foods,3.7,"North Indian, Chinese, South Indian",₹300 FOR TWO,delhi
Nando's,4.1,"Portuguese, African, Grill, Salads",₹450 FOR TWO,delhi
Bistro 57,4.3,Beverages,₹300 FOR TWO,delhi
Barbeque Nation,4.1,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",₹600 FOR TWO,delhi
Bercos - If you love chinese,4.2,"Chinese, Thai, Asian, Beverages, Desserts, Oriental, Seafood, Pan-Asian",₹600 FOR TWO,delhi
Kwality Walls Frozen Dessert and Ice Cream Shop,4.5,"Desserts, Ice Cream, Ice Cream Cakes",₹300 FOR TWO,delhi
Delhi Darbar,3.4,"North Indian, Chinese",₹200 FOR TWO,delhi
Dunkin',4.4,"Beverages, Fast Food, Desserts",₹250 FOR TWO,delhi
Ghee and Turmeric,4.2,"North Indian, Tandoor, Punjabi, Beverages, Desserts, Mughlai",₹500 FOR TWO,delhi
Q'BA,--,"North Indian, Chinese, Fast Food, Indian, Tandoor, Biryani",₹1000 FOR TWO,delhi
Starbucks Coffee,4.0,"Beverages, Ice Cream",₹400 FOR TWO,delhi
Chai Point,4.2,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",₹150 FOR TWO,delhi
Rajdhani,4.0,"Rajasthani, Thalis, Indian",₹1050 FOR TWO,delhi
Baskin Robbins,4.3,"Desserts, Ice Cream",₹250 FOR TWO,delhi
Sandoz,4.1,"Indian, Chinese",₹350 FOR TWO,delhi
Domino's Pizza,4.2,Pizzas,₹400 FOR TWO,delhi
Havmor Havfunn ice cream,4.5,"Ice Cream, Ice Cream Cakes, Desserts, Beverages",₹200 FOR TWO,delhi
RAJDHANI RESTAURANT,2.7,"Afghani, Biryani, Chinese, Indian, North Indian",₹100 FOR TWO,delhi
Pandey Paan (S.N.Pandey & Son),--,Paan,₹200 FOR TWO,delhi
Burger Singh (Big Punjabi Burgers),4.3,"Snacks, Fast Food, Indian, American, Beverages, Desserts, Mughlai, North Indian,...",₹300 FOR TWO,delhi
Chaap Waale,--,"North Indian, Chinese, Snacks",₹300 FOR TWO,delhi
Southy,3.7,"South Indian, Snacks, Beverages",₹400 FOR TWO,delhi
Hira Sweets,4.2,"North Indian, South Indian, Chinese, Continental, Bakery, Street Food, Sweets, D...",₹600 FOR TWO,delhi
Pind Balluchi - Janpath,3.8,"North Indian, Mughlai",₹400 FOR TWO,delhi
Daryaganj - By the inventors of Butter Chicken and Dal Makhani,4.4,"Indian, North Indian, Kebabs, Tandoor",₹1500 FOR TWO,delhi
DS Dosa Factory,--,"South Indian, Chinese, North Indian, Salads, Beverages, Desserts, Ice Cream",₹200 FOR TWO,delhi
Bagundi Andhra Kitchen,4.0,Indian,₹800 FOR TWO,delhi
Depaul's,3.8,Chinese,₹200 FOR TWO,delhi
Gupta Restaurant,3.5,"North Indian, South Indian, Chinese",₹200 FOR TWO,delhi
WONDER'S PIZZA,--,"Bakery, Beverages, Fast Food",₹300 FOR TWO,delhi
All In One,--,"Indian, Chinese, Fast Food, Snacks",₹400 FOR TWO,imphal
Aroma Cook House,--,"Chinese, Indian, North Indian",₹999 FOR TWO,imphal
US Pizza,--,"Pizzas, Snacks, Beverages",₹300 FOR TWO,imphal
Hotel imoinu,--,"Seafood, North Indian, Desserts",₹1000 FOR TWO,imphal
Forage,3.5,"Indian, Chinese, Korean",₹300 FOR TWO,imphal
D3 Kitchen,--,Fast Food,₹200 FOR TWO,imphal
9 Hills Bistro,4.1,"North Indian, Chinese, Italian",₹200 FOR TWO,imphal
Punjabi Tikka Restaurant,3.5,"Chinese, Snacks, Indian",₹200 FOR TWO,imphal
Jai Ganesh - Mahaballi Kabui khul,--,"Chinese, Snacks, Burgers",₹250 FOR TWO,imphal
BITE BOX CAFE,--,"Chinese, Indian, Fast Food",₹200 FOR TWO,imphal
Meitei Momo,--,"Chinese, Burgers, Fast Food, Beverages",₹150 FOR TWO,imphal
The Belgian Waffle Co.,4.5,"Waffle, Desserts, Ice Cream",₹200 FOR TWO,imphal
TALK OF THE TOWN (BT ROAD),4.0,Indian,₹300 FOR TWO,imphal
Bismillah Hotel (Halal),3.5,"Biryani, South Indian, Kebabs, Hyderabadi",₹150 FOR TWO,imphal
Subway,4.2,"Fast Food, Healthy Food, Salads, Snacks, Desserts, Beverages",₹250 FOR TWO,imphal
Leirung Resto,--,"Chinese, Indian, Biryani, Fast Food, Burgers, Salads, Beverages",₹200 FOR TWO,imphal
Vicky ka dhaba,3.6,North Indian,₹150 FOR TWO,imphal
KFC,4.2,"American, Snacks, Biryani",₹400 FOR TWO,imphal
Food zilla,3.9,"Chinese, Indian, Italian, Korean, Thai, Italian-American",₹200 FOR TWO,imphal
Peoples Cafe,--,"Cafe, Beverages, Chinese, Snacks, Fast Food",₹250 FOR TWO,imphal
ABC FASTFOOD,4.4,"Indian, North Indian, Thai",₹300 FOR TWO,imphal
Like Momo,3.9,"Indian, Chinese",₹220 FOR TWO,imphal
New Blue Moon,3.8,"Sweets, Snacks, Indian, South Indian, Chinese",₹200 FOR TWO,imphal
Imphal Kitchen,2.5,"Thalis, Indian",₹290 FOR TWO,imphal
Samoxa,4.2,Chaat,₹200 FOR TWO,imphal
Keventers - Milkshakes and Desserts,4.4,"Beverages, Ice Cream, Desserts, Healthy Food",₹300 FOR TWO,imphal
Naobas Chakhumang Restaurant,3.5,Indian,₹500 FOR TWO,imphal
Pizza Hut,4.0,Pizzas,₹350 FOR TWO,imphal
Domino's Pizza,4.5,Pizzas,₹400 FOR TWO,imphal
Pots Kitchen,3.8,"Chinese, North Eastern",₹250 FOR TWO,imphal
Nikheel Cafe2,4.1,"Chinese, Indian, Italian, Italian-American, Thai",₹250 FOR TWO,imphal
West Joint,--,"Chinese, Snacks",₹200 FOR TWO,imphal
Eikhoi Chakshang,3.8,Indian,₹250 FOR TWO,imphal
JK & South Indian Fast Foods,--,"South Indian, Chinese, Indian, Snacks, Italian-American",₹149 FOR TWO,imphal
Hotel Old Delhi Grillzz,3.4,Biryani,₹250 FOR TWO,imphal
Yummy Land - Keishampat Junction,3.8,"Indian, Chinese",₹220 FOR TWO,imphal
The Belgian Street,--,"Ice Cream, Desserts",₹250 FOR TWO,imphal
Kreams,4.2,Bakery,₹1000 FOR TWO,imphal
Refreshment Shop,--,"Snacks, Beverages",₹110 FOR TWO,imphal
Hungry Hut,--,"Chinese, Italian, Indian, Beverages",₹250 FOR TWO,imphal
Green Food Zone,3.9,"North Indian, Chinese, Fast Food",₹200 FOR TWO,imphal
Chumthang Cake Shop,--,Bakery,₹500 FOR TWO,imphal
Aries Tower,3.6,"Indian, Chinese, Korean, Italian",₹200 FOR TWO,imphal
The London Shakes,--,"Indian, Chinese, Snacks",₹250 FOR TWO,imphal
Sky Lounge,--,Chinese,₹400 FOR TWO,imphal
Prachi's Kitchen,3.4,"Indian, Beverages, Chinese, Pizzas",₹200 FOR TWO,imphal
De Avenue Cafe,4.2,"Juices, Beverages",₹400 FOR TWO,imphal
Food So Good Fast Food,--,"Chinese, Indian, Beverages",₹200 FOR TWO,imphal
Haona Chao,3.3,Indian,₹400 FOR TWO,imphal
Dawat-E-Khas Sweets & Snacks,3.4,Sweets,₹100 FOR TWO,imphal
Curious Bowl,3.1,Indian,₹250 FOR TWO,imphal
One Bite,4.3,American,₹200 FOR TWO,imphal
The Classic Hotel,--,"Indian, Chinese, Sweets",₹400 FOR TWO,imphal
NUJA'S KITCHEN,--,Bakery,₹500 FOR TWO,imphal
Nanai Eatery,4.4,"Chinese, Fast Food, Burgers, Snacks",₹300 FOR TWO,imphal
Dawat-E-Khas Restaurant,3.9,"North Indian, Chinese",₹250 FOR TWO,imphal
Tasty Tastes - Nagmapal,4.1,"Fast Food, Snacks",₹300 FOR TWO,imphal
Famous Kebabs,--,"Indian, Chinese, Beverages",₹200 FOR TWO,imphal
The London Shakes Imphal,--,"Beverages, Pizzas, Snacks",₹300 FOR TWO,imphal
Zaika Restaurant,3.9,"Indian, Biryani, Chinese",₹350 FOR TWO,imphal
"Michie's Kitchen, Kwakeithel",--,Biryani,₹300 FOR TWO,imphal
Chakhum Ama,2.4,"Thalis, Indian",₹300 FOR TWO,imphal
Dolly Momo - (Top no.1 Premium Momo),3.8,Chinese,₹280 FOR TWO,imphal
Dazzle,4.0,"Indian, Thai, Chinese, Korean, Italian",₹200 FOR TWO,imphal
Good Kitchen,3.8,"Indian, Chinese",₹200 FOR TWO,imphal
Mellow,3.9,Indian,₹300 FOR TWO,imphal
The Hungry Duck,--,Indian,₹200 FOR TWO,imphal
Dreams Cafe,--,"Chinese, Pizzas",₹200 FOR TWO,imphal
Imphal Food Order,3.2,"Rs.40 Off, Healthy Food, Bakery, Indian",₹180 FOR TWO,imphal
SANGAI CONTINENTAL,3.9,"American, Asian, Chinese, Indian, North Indian, South Indian",₹1000 FOR TWO,imphal
USPFC (US Pizza & Fried Chicken),4.3,"Pizzas, Italian-American, Indian",₹200 FOR TWO,imphal
Thoppcan Supermeals,4.6,"Healthy Food, Beverages, Snacks, North Eastern",₹250 FOR TWO,imphal
Smoke House - Sangaiprou,4.1,"Biryani, Grill, Chinese, Indian",₹300 FOR TWO,imphal
The Hungry Monkey,--,"Chinese, Snacks, Salads",₹200 FOR TWO,imphal
Tantra Boutique Hotel,--,"Mangalorean, Chinese",₹700 FOR TWO,imphal
Albiryan,3.3,"Indian, Biryani",₹200 FOR TWO,imphal
7th Heaven - Cake Shop,4.0,Bakery,₹1400 FOR TWO,imphal
One Bite New,--,"Pizzas, Pastas, Snacks, Healthy Food",₹300 FOR TWO,imphal
Tandoori,--,"Tandoor, North Indian, Chinese",₹300 FOR TWO,imphal
The Aura - Top no.1 Pizza,3.6,"Chinese, Indian, Italian, Thai",₹250 FOR TWO,imphal
Sagar Gaire,4.0,"Punjabi, Chinese, Italian, Thalis, Fast Food, Combo",₹300 FOR TWO,indore
Shree Gurukripa Hotel - Sarwate,3.9,"North Indian, Chinese, South Indian, Desserts, Thalis, Beverages, Indian, Jain",₹250 FOR TWO,indore
Apna Sweets,4.4,"Sweets, Beverages, Street Food, South Indian, Fast Food, Chinese, Desserts",₹300 FOR TWO,indore
Subway,3.8,"Healthy Food, Salads, Snacks, Desserts, Beverages",₹350 FOR TWO,indore
Maa Kali Bhojnalaya,--,North Indian,₹100 FOR TWO,indore
Shahi Khaman - Jalaram Farsan,4.3,"Gujarati, Indian, Fast Food",₹150 FOR TWO,indore
Prashant Chat Choupaty since 1949,3.8,"Street Food, South Indian, Chinese, North Indian, Indian",₹150 FOR TWO,indore
Jai Malhar Sandwich,--,"Continental, Snacks",₹200 FOR TWO,indore
B.CSINGH NATURAL FRUIT KULFI,--,"Ice Cream, Chinese",₹150 FOR TWO,indore
Amour-The Cafeteria,--,"Fast Food, Pizzas, Snacks, Beverages",₹300 FOR TWO,indore
Bhadrakali rasoi,--,Indian,₹100 FOR TWO,indore
Johny Hot Dog-56 dukan,4.3,Fast Food,₹150 FOR TWO,indore
Shreenath Sandwich,3.9,Fast Food,₹150 FOR TWO,indore
Hotel Rajhans,4.2,"Thalis, Rajasthani, Indian",₹500 FOR TWO,indore
Agrawal Sweets-Sarafa,--,"Sweets, Bakery, Snacks",₹300 FOR TWO,indore
Dhanraj Dal Bafle,--,Indian,₹520 FOR TWO,indore
KFC,3.7,"American, Snacks, Biryani",₹400 FOR TWO,indore
CHIKU CHINESE'S,--,Chinese,₹100 FOR TWO,indore
Annapurna Ashirwad bhojan,--,Indian,₹250 FOR TWO,indore
Hotel Madni Darbar -Sarwate Bus Stand,4.0,"North Indian, Biryani, Punjabi, Lucknowi",₹500 FOR TWO,indore
Rajkamal Bhojanalaya,3.8,Indian,₹200 FOR TWO,indore
VIJAY SHREE BHOJNALAYA,3.3,Thalis,₹150 FOR TWO,indore
Ravi Alpahar-Nagar Nigam,4.4,"North Indian, Snacks",₹100 FOR TWO,indore
Ratan Sev Bhandar,4.5,"Sweets, Indian, Snacks, Desserts, Bakery",₹150 FOR TWO,indore
